2026-07-08 16:31:16,885 | INFO | TEST | Logger is working!
2026-07-08 16:31:16,885 | WARNING | TEST | This is a warning.
2026-07-08 16:31:16,885 | ERROR | TEST | This is an error.
2026-07-08 16:32:45,567 | INFO | TEST | Logger is working!
2026-07-08 16:32:45,568 | WARNING | TEST | This is a warning.
2026-07-08 16:32:45,568 | ERROR | TEST | This is an error.
2026-07-10 11:02:57,911 | INFO | PARSER | Parsing incoming alert...
2026-07-10 11:02:57,911 | INFO | PARSER | Alert parsed successfully.
2026-07-10 11:02:57,912 | INFO | VALIDATOR | Validating alert...
2026-07-10 11:02:57,912 | INFO | VALIDATOR | Alert validation successful.
2026-07-10 11:03:05,906 | INFO | SERVICE | Received new alert.
2026-07-10 11:03:05,907 | INFO | PARSER | Parsing incoming alert...
2026-07-10 11:03:05,907 | INFO | PARSER | Alert parsed successfully.
2026-07-10 11:03:05,907 | INFO | VALIDATOR | Validating alert...
2026-07-10 11:03:05,907 | INFO | VALIDATOR | Alert validation successful.
2026-07-10 11:03:05,908 | INFO | SERVICE | Alert accepted.
2026-07-10 11:42:09,238 | INFO | SERVICE | Received new alert.
2026-07-10 11:42:09,239 | INFO | PARSER | Parsing incoming alert...
2026-07-10 11:42:09,239 | INFO | PARSER | Alert parsed successfully.
2026-07-10 11:42:09,239 | INFO | VALIDATOR | Validating alert...
2026-07-10 11:42:09,239 | INFO | VALIDATOR | Alert validation successful.
2026-07-10 11:42:09,240 | INFO | SERVICE | Alert accepted.
2026-07-10 11:42:10,775 | INFO | SERVICE | Received new alert.
2026-07-10 11:42:10,775 | INFO | PARSER | Parsing incoming alert...
2026-07-10 11:42:10,775 | INFO | PARSER | Alert parsed successfully.
2026-07-10 11:42:10,775 | INFO | VALIDATOR | Validating alert...
2026-07-10 11:42:10,776 | INFO | VALIDATOR | Alert validation successful.
2026-07-10 11:42:10,776 | INFO | SERVICE | Alert accepted.
2026-07-10 11:50:11,345 | INFO | SERVICE | Received new alert.
2026-07-10 11:50:11,346 | INFO | PARSER | Parsing incoming alert...
2026-07-10 11:50:11,346 | INFO | PARSER | Alert parsed successfully.
2026-07-10 11:50:11,346 | INFO | VALIDATOR | Validating alert...
2026-07-10 11:50:11,346 | INFO | VALIDATOR | Alert validation successful.
2026-07-10 11:50:11,347 | INFO | SERVICE | Alert accepted.
2026-07-10 11:50:31,876 | INFO | SERVICE | Received new alert.
2026-07-10 11:50:31,877 | INFO | PARSER | Parsing incoming alert...
2026-07-10 11:50:31,877 | INFO | PARSER | Alert parsed successfully.
2026-07-10 11:50:31,877 | INFO | VALIDATOR | Validating alert...
2026-07-10 11:50:31,878 | INFO | VALIDATOR | Alert validation successful.
2026-07-10 11:50:31,878 | INFO | SERVICE | Alert accepted.
2026-07-10 12:59:28,040 | INFO | PARSER | Parsing incoming alert...
2026-07-10 12:59:28,041 | INFO | PARSER | Alert parsed successfully.
2026-07-10 12:59:28,041 | INFO | FEATURES | Extracting alert features...
2026-07-10 12:59:28,041 | INFO | FEATURES | Feature extraction completed.
2026-07-10 13:07:18,061 | INFO | PARSER | Parsing incoming alert...
2026-07-10 13:07:18,061 | INFO | PARSER | Alert parsed successfully.
2026-07-10 13:07:18,061 | INFO | MITRE | Mapping MITRE ATT&CK...
2026-07-10 13:07:18,062 | INFO | MITRE | Matched MITRE T1059.001
2026-07-10 14:11:47,926 | INFO | THREAT_INTEL | Checking reputation of 192.168.10.5
2026-07-10 14:11:47,927 | INFO | THREAT_INTEL | Checking reputation of 185.220.101.15
2026-07-10 14:11:47,927 | INFO | THREAT_INTEL | Checking reputation of 8.8.8.8
2026-07-10 14:15:50,331 | INFO | DECISION | Calculating risk score...
2026-07-10 14:15:50,332 | INFO | DECISION | Risk Score = 100
2026-07-10 14:43:46,041 | INFO | SERVICE | Received new alert.
2026-07-10 14:43:46,042 | INFO | PARSER | Parsing incoming alert...
2026-07-10 14:43:46,042 | INFO | PARSER | Alert parsed successfully.
2026-07-10 14:43:46,042 | INFO | VALIDATOR | Validating alert...
2026-07-10 14:43:46,043 | INFO | VALIDATOR | Alert validation successful.
2026-07-10 14:43:46,043 | INFO | FEATURES | Extracting alert features...
2026-07-10 14:43:46,043 | INFO | FEATURES | Feature extraction completed.
2026-07-10 14:43:46,043 | INFO | MITRE | Mapping MITRE ATT&CK...
2026-07-10 14:43:46,044 | INFO | MITRE | Matched MITRE T1059.001
2026-07-10 14:43:46,044 | INFO | THREAT_INTEL | Checking reputation of 192.168.10.5
2026-07-10 14:43:46,044 | INFO | DECISION | Calculating risk score...
2026-07-10 14:43:46,044 | INFO | DECISION | Risk Score = 50
2026-07-10 14:43:46,044 | INFO | SERVICE | Processing completed.
2026-07-10 14:56:55,910 | INFO | SERVICE | Received new alert.
2026-07-10 14:56:55,911 | INFO | PARSER | Parsing incoming alert...
2026-07-10 14:56:55,911 | INFO | PARSER | Alert parsed successfully.
2026-07-10 14:56:55,911 | INFO | VALIDATOR | Validating alert...
2026-07-10 14:56:55,912 | INFO | VALIDATOR | Alert validation successful.
2026-07-10 14:56:55,912 | INFO | FEATURES | Extracting alert features...
2026-07-10 14:56:55,912 | INFO | FEATURES | Feature extraction completed.
2026-07-10 14:56:55,913 | INFO | MITRE | Mapping MITRE ATT&CK...
2026-07-10 14:56:55,913 | INFO | MITRE | Matched MITRE T1059.001
2026-07-10 14:56:55,913 | INFO | THREAT_INTEL | Checking reputation of 192.168.10.5
2026-07-10 14:56:55,913 | INFO | DECISION | Calculating risk score...
2026-07-10 14:56:55,914 | INFO | DECISION | Risk Score = 50
2026-07-10 14:56:55,914 | INFO | SERVICE | Processing completed.
2026-07-10 15:54:54,193 | INFO | SERVICE | Received new alert.
2026-07-10 15:54:54,194 | INFO | PARSER | Parsing incoming alert...
2026-07-10 15:54:54,194 | INFO | PARSER | Alert parsed successfully.
2026-07-10 15:54:54,194 | INFO | VALIDATOR | Validating alert...
2026-07-10 15:54:54,194 | INFO | VALIDATOR | Alert validation successful.
2026-07-10 15:54:54,194 | INFO | FEATURES | Extracting alert features...
2026-07-10 15:54:54,195 | INFO | FEATURES | Feature extraction completed.
2026-07-10 15:54:54,195 | INFO | MITRE | Mapping MITRE ATT&CK...
2026-07-10 15:54:54,195 | INFO | MITRE | Matched MITRE T1059.001
2026-07-10 15:54:54,195 | INFO | THREAT_INTEL | Checking reputation of 192.168.10.5
2026-07-10 15:54:54,195 | INFO | DECISION | Calculating risk score...
2026-07-10 15:54:54,196 | INFO | DECISION | Risk Score = 50
2026-07-10 15:54:54,196 | INFO | SERVICE | Processing completed.
2026-07-10 16:57:05,777 | INFO | SERVICE | Received new alert.
2026-07-10 16:57:05,778 | INFO | PARSER | Parsing incoming alert...
2026-07-10 16:57:05,779 | INFO | PARSER | Alert parsed successfully.
2026-07-10 16:57:05,779 | INFO | VALIDATOR | Validating alert...
2026-07-10 16:57:05,780 | INFO | VALIDATOR | Alert validation successful.
2026-07-10 16:57:05,781 | INFO | FEATURES | Extracting alert features...
2026-07-10 16:57:05,781 | INFO | FEATURES | Feature extraction completed.
2026-07-10 16:57:05,783 | INFO | MITRE | Mapping MITRE ATT&CK...
2026-07-10 16:57:05,785 | INFO | MITRE | Matched MITRE T1059.001
2026-07-10 16:57:05,786 | INFO | THREAT_INTEL | Checking reputation of 192.168.10.5
2026-07-10 16:57:05,788 | INFO | DECISION | Running XGBoost prediction...
2026-07-10 16:57:05,801 | INFO | DECISION | Risk Score=1, Decision=Close
2026-07-10 16:57:05,802 | INFO | SERVICE | Alert processing completed.
2026-07-10 17:15:59,064 | INFO | SERVICE | Received new alert.
2026-07-10 17:15:59,065 | INFO | PARSER | Parsing incoming alert...
2026-07-10 17:15:59,065 | INFO | PARSER | Alert parsed successfully.
2026-07-10 17:15:59,065 | INFO | VALIDATOR | Validating alert...
2026-07-10 17:15:59,066 | INFO | VALIDATOR | Alert validation successful.
2026-07-10 17:15:59,066 | INFO | FEATURES | Extracting alert features...
2026-07-10 17:15:59,066 | INFO | FEATURES | Feature extraction completed.
2026-07-10 17:15:59,066 | INFO | MITRE | Mapping MITRE ATT&CK...
2026-07-10 17:15:59,067 | INFO | MITRE | Matched MITRE T1059.001
2026-07-10 17:15:59,067 | INFO | THREAT_INTEL | Checking reputation of 192.168.10.5
2026-07-10 17:15:59,067 | INFO | DECISION | Running XGBoost prediction...
2026-07-10 17:15:59,075 | INFO | DECISION | Risk Score=1, Decision=Close
2026-07-10 17:15:59,075 | INFO | SERVICE | Alert processing completed.
2026-07-10 17:16:12,207 | INFO | SERVICE | Received new alert.
2026-07-10 17:16:12,207 | INFO | PARSER | Parsing incoming alert...
2026-07-10 17:16:12,208 | INFO | PARSER | Alert parsed successfully.
2026-07-10 17:16:12,208 | INFO | VALIDATOR | Validating alert...
2026-07-10 17:16:12,208 | INFO | VALIDATOR | Alert validation successful.
2026-07-10 17:16:12,208 | INFO | FEATURES | Extracting alert features...
2026-07-10 17:16:12,209 | INFO | FEATURES | Feature extraction completed.
2026-07-10 17:16:12,209 | INFO | MITRE | Mapping MITRE ATT&CK...
2026-07-10 17:16:12,209 | INFO | MITRE | Matched MITRE T1059.001
2026-07-10 17:16:12,209 | INFO | THREAT_INTEL | Checking reputation of 192.168.10.5
2026-07-10 17:16:12,209 | INFO | DECISION | Running XGBoost prediction...
2026-07-10 17:16:12,218 | INFO | DECISION | Risk Score=100, Decision=Escalate
2026-07-10 17:16:12,219 | INFO | SERVICE | Alert processing completed.
2026-07-14 10:25:44,762 | INFO | SERVICE | Received new alert.
2026-07-14 10:25:44,762 | INFO | PARSER | Parsing incoming alert...
2026-07-14 10:25:44,763 | INFO | PARSER | Alert parsed successfully.
2026-07-14 10:25:44,763 | INFO | VALIDATOR | Validating alert...
2026-07-14 10:25:44,763 | INFO | VALIDATOR | Alert validation successful.
2026-07-14 10:25:44,763 | INFO | SERVICE | Alert validation successful.
2026-07-14 10:25:44,764 | INFO | FEATURES | Extracting alert features...
2026-07-14 10:25:44,764 | INFO | FEATURES | Feature extraction completed.
2026-07-14 10:25:44,764 | INFO | MITRE | Mapping MITRE ATT&CK...
2026-07-14 10:25:44,764 | INFO | MITRE | Matched MITRE T1059.001
2026-07-14 10:25:44,765 | INFO | THREAT_INTEL | Checking reputation of 192.168.10.5
2026-07-14 10:25:44,765 | INFO | DECISION | Running XGBoost prediction...
2026-07-14 10:25:44,781 | INFO | DECISION | Risk Score=100, Decision=Escalate
2026-07-14 10:25:44,782 | INFO | EXPLAINER | Explanation generated.
2026-07-14 10:25:44,782 | INFO | SERVICE | Alert processed successfully.
2026-07-14 12:19:34,708 | INFO | SERVICE | Received new alert.
2026-07-14 12:19:34,708 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:25:20,908 | INFO | SERVICE | Received new alert.
2026-07-14 12:25:20,908 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:25:37,731 | INFO | SERVICE | Received new alert.
2026-07-14 12:25:37,731 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:39:44,690 | INFO | SERVICE | Received new alert.
2026-07-14 12:39:44,691 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:39:45,150 | INFO | SERVICE | Received new alert.
2026-07-14 12:39:45,150 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:39:45,490 | INFO | SERVICE | Received new alert.
2026-07-14 12:39:45,490 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:39:56,205 | INFO | SERVICE | Received new alert.
2026-07-14 12:39:56,206 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:39:56,837 | INFO | SERVICE | Received new alert.
2026-07-14 12:39:56,837 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:39:57,035 | INFO | SERVICE | Received new alert.
2026-07-14 12:39:57,035 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:40:42,399 | INFO | SERVICE | Received new alert.
2026-07-14 12:40:42,400 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:40:44,313 | INFO | SERVICE | Received new alert.
2026-07-14 12:40:44,313 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:40:44,886 | INFO | SERVICE | Received new alert.
2026-07-14 12:40:44,886 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:42:38,430 | INFO | SERVICE | Received new alert.
2026-07-14 12:42:38,430 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:42:40,001 | INFO | SERVICE | Received new alert.
2026-07-14 12:42:40,001 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:42:42,470 | INFO | SERVICE | Received new alert.
2026-07-14 12:42:42,470 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:42:42,813 | INFO | SERVICE | Received new alert.
2026-07-14 12:42:42,813 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:44:31,059 | INFO | SERVICE | Received new alert.
2026-07-14 12:44:31,059 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:44:35,363 | INFO | SERVICE | Received new alert.
2026-07-14 12:44:35,364 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:45:10,349 | INFO | SERVICE | Received new alert.
2026-07-14 12:45:10,349 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:45:10,536 | INFO | SERVICE | Received new alert.
2026-07-14 12:45:10,536 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:45:33,420 | INFO | SERVICE | Received new alert.
2026-07-14 12:45:33,420 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:54:49,873 | INFO | SERVICE | Received new alert.
2026-07-14 12:54:49,873 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:54:49,876 | ERROR | SERVICE | Alert Processing Failed
Traceback (most recent call last):
  File "C:\Projects\AI_SOC_ENGINE\src\services\alert_service.py", line 43, in process
    alert = self.parser.parse(raw_alert)
  File "C:\Projects\AI_SOC_ENGINE\src\parser\parser.py", line 24, in parse
    metadata=AlertMetadata(
             ~~~~~~~~~~~~~^
        alert_id=data.get("alert_id", "UNKNOWN"),
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ...<2 lines>...
        timestamp=data.get("timestamp"),
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ),
    ^
  File "C:\Projects\AI_SOC_ENGINE\.venv\Lib\site-packages\pydantic\main.py", line 263, in __init__
    validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
pydantic_core._pydantic_core.ValidationError: 1 validation error for AlertMetadata
timestamp
  Input should be a valid datetime [type=datetime_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.13/v/datetime_type
2026-07-14 12:54:56,293 | INFO | SERVICE | Received new alert.
2026-07-14 12:54:56,294 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:54:56,296 | ERROR | SERVICE | Alert Processing Failed
Traceback (most recent call last):
  File "C:\Projects\AI_SOC_ENGINE\src\services\alert_service.py", line 43, in process
    alert = self.parser.parse(raw_alert)
  File "C:\Projects\AI_SOC_ENGINE\src\parser\parser.py", line 24, in parse
    metadata=AlertMetadata(
             ~~~~~~~~~~~~~^
        alert_id=data.get("alert_id", "UNKNOWN"),
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ...<2 lines>...
        timestamp=data.get("timestamp"),
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ),
    ^
  File "C:\Projects\AI_SOC_ENGINE\.venv\Lib\site-packages\pydantic\main.py", line 263, in __init__
    validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
pydantic_core._pydantic_core.ValidationError: 1 validation error for AlertMetadata
timestamp
  Input should be a valid datetime [type=datetime_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.13/v/datetime_type
2026-07-14 12:55:14,180 | INFO | SERVICE | Received new alert.
2026-07-14 12:55:14,180 | INFO | PARSER | Parsing incoming alert...
2026-07-14 12:55:14,182 | ERROR | SERVICE | Alert Processing Failed
Traceback (most recent call last):
  File "C:\Projects\AI_SOC_ENGINE\src\services\alert_service.py", line 43, in process
    alert = self.parser.parse(raw_alert)
  File "C:\Projects\AI_SOC_ENGINE\src\parser\parser.py", line 24, in parse
    metadata=AlertMetadata(
             ~~~~~~~~~~~~~^
        alert_id=data.get("alert_id", "UNKNOWN"),
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ...<2 lines>...
        timestamp=data.get("timestamp"),
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ),
    ^
  File "C:\Projects\AI_SOC_ENGINE\.venv\Lib\site-packages\pydantic\main.py", line 263, in __init__
    validated_self = self.__pydantic_validator__.validate_python(data, self_instance=self)
pydantic_core._pydantic_core.ValidationError: 1 validation error for AlertMetadata
timestamp
  Input should be a valid datetime [type=datetime_type, input_value=None, input_type=NoneType]
    For further information visit https://errors.pydantic.dev/2.13/v/datetime_type
2026-07-14 14:07:06,045 | INFO | SERVICE | Received new alert.
2026-07-14 14:07:06,045 | INFO | PARSER | Parsing incoming alert...
2026-07-14 14:07:06,045 | INFO | PARSER | Alert parsed successfully.
2026-07-14 14:07:06,046 | INFO | VALIDATOR | Validating alert...
2026-07-14 14:07:06,046 | INFO | VALIDATOR | Alert validation successful.
2026-07-14 14:07:06,046 | INFO | SERVICE | Alert validation successful.
2026-07-14 14:07:06,046 | INFO | FEATURES | Extracting alert features...
2026-07-14 14:07:06,047 | INFO | FEATURES | Feature extraction completed.
2026-07-14 14:07:06,047 | INFO | MITRE | Mapping MITRE ATT&CK...
2026-07-14 14:07:06,047 | INFO | MITRE | Matched MITRE T1059.001
2026-07-14 14:07:06,047 | INFO | THREAT_INTEL | Checking reputation of 192.168.10.5
2026-07-14 14:07:06,048 | INFO | DECISION | Running XGBoost prediction...
2026-07-14 14:07:06,054 | INFO | DECISION | Risk Score=100, Decision=Escalate
2026-07-14 14:07:06,055 | INFO | EXPLAINER | Explanation generated.
2026-07-14 14:07:06,056 | INFO | SERVICE | Alert processed successfully.
2026-07-14 14:42:47,826 | INFO | SERVICE | Received new alert.
2026-07-14 14:42:47,827 | INFO | PARSER | Parsing incoming alert...
2026-07-14 14:42:47,827 | INFO | PARSER | Alert parsed successfully.
2026-07-14 14:42:47,827 | INFO | VALIDATOR | Validating alert...
2026-07-14 14:42:47,828 | INFO | VALIDATOR | Alert validation successful.
2026-07-14 14:42:47,828 | INFO | SERVICE | Alert validation successful.
2026-07-14 14:42:47,828 | INFO | FEATURES | Extracting alert features...
2026-07-14 14:42:47,829 | INFO | FEATURES | Feature extraction completed.
2026-07-14 14:42:47,829 | INFO | MITRE | Mapping MITRE ATT&CK...
2026-07-14 14:42:47,829 | INFO | MITRE | Matched MITRE T1059.001
